Timestamp,Date,Ethereum,Terra,BSC,Avalanche,Fantom,Solana,Tron,Polygon,Arbitrum,Cronos,Harmony,Osmosis,Klaytn,Waves,Heco,Ronin,Moonriver,Elrond,Aurora,Celo,Kava,Parallel,DefiChain,Mixin,Optimism,Metis,xDai,Thorchain,OKExChain,Near,Fusion,RSK,Oasis,Bitcoin,Stacks,Godwoken,Icon,Secret,Songbird,Boba,IoTeX,Algorand,Tezos,EOS,Telos,Moonbeam,Sifchain,Karura,Wanchain,Ontology,Stellar,KCC,Theta,smartBCH,Velas,Everscale,Sora,VeChain,Zilliqa,Fuse,Kardia,Nuls,Energi,Cosmos,CSC,Callisto,Nahmii,ThunderCore,Ultra,Meter,Elastos,NEO,EnergyWeb,Kusama,Cardano,TomoChain,Lamden,Conflux,Polkadot,Ergo,XDC,Shiden,Polis,Ubiq,ZYX,Hoo,Liquidchain,GoChain,HPB,Palm,EthereumClassic,zkSync
1597881600,20/08/2020,6259555325.445117,,,,,,33934447.97359943,,,,,,,,,,,,,268911733.7906877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597968000,21/08/2020,6533485924.568667,,,,,,34706784.7171063,,,,,,,,,,,,,271162825.12797433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598054400,22/08/2020,6618974887.2364025,,,,,,32437541.825985935,,,,,,,,,,,,,253297446.52070183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598140800,23/08/2020,6519432878.632944,,,,,,30588993.114550643,,,,,,,,,,,,,247081512.68413353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598227200,24/08/2020,6651451790.195199,,,,,,30232330.291930623,,,,,,,,,,,,,248640066.73797596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598313600,25/08/2020,6732255922.39601,,,,,,32231109.072314423,,,,,,,,,,,,,251082742.31942445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598400000,26/08/2020,6925149377.066745,,,,,,30558876.867816824,,,,,,,,,,,,,294676563.55240077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598486400,27/08/2020,7140783635.264486,,,,,,38106741.14918983,,,,,,,,,,,,,302998120.0210375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598572800,28/08/2020,7224761896.375179,,,,,,38127050.70062499,,,,,,,,,,,,,410376353.5652393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598659200,29/08/2020,7575641338.825579,,,,,,41018122.451862246,,,,,,,,,,,,,422797404.34897363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598745600,30/08/2020,7964990202.293372,,,,,,42666367.92506272,,,,,,,,,,,,,430981378.7728504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598832000,31/08/2020,8458757314.915967,,,,,,54308714.46842584,,,,,,,,,,,,,416537534.7376189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598918400,01/09/2020,8830846516.71046,,,,,,56973526.51723837,,,,,,,,,,,,,410725682.60482657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599004800,02/09/2020,9644186779.227123,,,,,,91869015.17967042,,,,,,,,,,,,,396941557.04535115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599091200,03/09/2020,9347221609.720287,,,,,,119337114.87482682,,,,,,,,,,,,,402370241.1479639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599177600,04/09/2020,9388380259.443493,,,,,,122068160.73213449,,,,,,,,,,,,,396573656.58189446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599264000,05/09/2020,9185815822.913784,,,,,,150457789.41275272,,,,,,,,,,,,,442937771.16647154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599350400,06/09/2020,7920906858.33265,,,,,,102866750.56868619,,,,,,,,,,,,,382119739.43712103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599436800,07/09/2020,8096225805.180987,,,,,,151057850.07053638,,,,,,,,,,,,,359787322.4019276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599523200,08/09/2020,7252479279.511558,,,,,,162984474.58125544,,,,,,,,,,,,,327088110.78294116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599609600,09/09/2020,7163971348.129686,,,,,,170384509.52157855,,,,,,,,,,,,,336484245.9724649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599696000,10/09/2020,7389429842.111725,,,,,,163793798.69153282,,,,,,,,,,,,,322241775.51909506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599782400,11/09/2020,8068832695.744872,,,,,,141956271.19055015,,,,,,,,,,,,,325475536.56422526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599868800,12/09/2020,8154493398.438248,,,,,,132782911.43911731,,,,,,,,,,,,,307419760.6558056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599955200,13/09/2020,8321028858.594216,,,,,,125330244.23470297,,,,,,,,,,,,,309199597.48146605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600041600,14/09/2020,8196339425.226349,,,,,,117652261.0543465,,,,,,,,,,,,,302706615.80672157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600128000,15/09/2020,8313432181.303636,,,,,,97259488.9332495,,,,,,,,,,,,,292984423.8545829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600214400,16/09/2020,7779804827.769264,,,,,,85912339.09383747,,,,,,,,,,,,,284784042.72784096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600300800,17/09/2020,7885684530.163386,,,,,,210380211.78567272,,,,,,,,,,,,,253444674.55106044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600387200,18/09/2020,8355492335.8883295,,,,,,247246736.98614702,,,,,,,,,,,,,253692979.55343577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600473600,19/09/2020,8764406103.864904,,,,,,288632326.0061184,,,,,,,,,,,,,220237060.5005725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600560000,20/09/2020,9272251894.54982,,,,,,298293171.57970107,,,,,,,,,,,,,215149177.85171622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600646400,21/09/2020,9672998980.599873,,,,,,296269445.01512027,,,,,,,,,,,,,306247307.16412735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600732800,22/09/2020,9153851721.65824,,,,,,289859176.73292375,,,,,,,,,,,,,325837140.92362285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600819200,23/09/2020,9150225474.492144,,,,,,287623958.2024143,,,,,,,,,,,,,282411332.16697985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600905600,24/09/2020,9275086344.226881,,,,,,285830545.35256743,,,,,,,,,,,,,266915566.24784657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600992000,25/09/2020,9416347427.465813,,,,,,293646295.94368875,,,,,,,,,,,,,257203577.22159126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601078400,26/09/2020,9789673375.245094,,,,,,297671734.4924453,,,,,,,,,,,,,261375395.0177823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601164800,27/09/2020,10748142127.526825,,,,,,297124969.6555763,,,,,,,,,,,,,263163891.26353326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601251200,28/09/2020,10679045128.376244,,,,,,288111416.03631914,,,,,,,,,,,,,250776354.74995387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
