slug,yearly_growth
decimated,nan
digifinextoken,nan
digitex-futures,inf
dmarket,inf
dprating,nan
dreamteam-token,nan
duo-network-token,nan
endor-protocol,inf
enigma,inf
eristica,nan
etherparty,nan
evedo,inf
everus,nan
fantom,18.79557946606587
fetch,15.920279768124304
foam,inf
friends,nan
funfair,19.330467034277383
game,inf
genesis-vision,inf
gonetwork,nan
hedgetrade,nan
hitchain,inf
humaniq,inf
hydrogen,inf
hyperquant,nan
ice-rock-mining,nan
rlc,22.78330658060638
iht-real-estate-protocol,nan
lendroid-support-token,inf
lition,inf
lockchain,inf
mainframe,24.434681997593803
matryx,inf
morpheus-labs,31.402996126369416
mybit,inf
mysterium,inf
nanjcoin,nan
nectar,inf
neurochain,nan
odem,inf
odyssey,inf
omisego,12.020134422242254
origin-sport,nan
otcbtc-token,nan
parkgene,nan
pillar,53.50836460530029
poa-network,inf
presearch,nan
proton-token,nan
pundi-x,22.81921925337047
quant,11.295627634613357
quickx-protocol,inf
rate3,nan
request,49.45858258044116
restart-energy-mwat,inf
ripple,7.5106824652534065
ost,inf
snetwork,inf
storj,64.55517780033048
substratum,inf
swftcoin,78.65009117916696
telcoin,inf
the-abyss,inf
tokenclub,inf
tratok,nan
trias,nan
unibright,15.344596450268979
viberate,inf
wrapped-bitcoin,3.5552189097211953
xmax,inf
xriba,inf
yee,inf
youlive-coin,inf
zmine,nan
blockburn,nan
cryptofranc,inf
dapp-token,inf
gatechain-token,inf
monolith,inf
qiibee,inf
sessia,nan
spiking,nan
tether,2.4712805132727436
ultra,17.00293198033052
12ships,inf
7eleven,nan
binance-usd,6.474505882703671
d-community,nan
digital-fantasy-sports,inf
molecular-future,inf
pledge-coin,nan
multi-collateral-dai,1.8778506742751966
vnx-exchange,nan
trade-token-x,inf
apm-coin,nan
keep-network,31.72551658346955
compound-ether,8.050349650371551
render-token,40.71344706924508
stormx,152.82380545474197
orion-protocol,inf
antiample,inf
lunchmoney,nan
zap,61.86039041401005
defipie,inf
datamine,nan
cbdao,nan
the-sandbox,47.631902968250536
degenerator,44.98394091247358
mantra-dao,inf
stafi,inf
yam-v2,inf
lien,inf
robonomics-web-services,nan
dextrust,nan
distx,nan
bnsd-finance,inf
rivex,nan
sake-token,inf
powerpool,32.13274634000958
linear,37.08736577529925
ytsla-finance,inf
crust,23.877248571474073
revv,54.98048847278228
polyient-games-governance-token,inf
non-fungible-yearn,inf
aave-bat,inf
aave-mana,nan
aave-tusd,inf
compound-uniswap,inf
pria,nan
unilend,51.150411799708216
sbtc,inf
nix-bridge-token,inf
unfederalreserve,20.382649578578523
keep4r,inf
fuse-network,50.566397513068715
lattice-token,39.11040349148738
keeperdao,16.52111585020858
apy-finance,26.424951751202755
ethereum-yield,inf
paypolitan-token,inf
muse,29.139197854875277
skale-network,30.87609488269386
mirror-protocol,20.07763638783609
reflect-finance,nan
deflect,nan
dynamic-set-dollar,inf
spiderdao,inf
yield,nan
onx-finance,37.55589290327746
efforce,65.823388721739
tokenlon-network-token,24.438359110413874
shopping,19.078772700272275
exeedme,19.46710912099622
octofi,inf
barnbridge,28.148600457351755
truefi-token,36.114816408980666
allianceblock,8.042400398877465
snowswap,35.733279051218915
ibtc-synthetix,nan
sdefi,inf
schf,nan
archer-dao-governance-token,inf
maps,inf
wootrade,20.099059912928272
titanswap,inf
boringdao,inf
blocery,inf
index-cooperative,25.926913934357295
torn,75.24751248258106
finxflo,inf
rari-governance-token,32.88230255986992
hopr,inf
unistake,56.207080687895875
frax,16.046923779154664
shadows,inf
big-data-protocol,inf
inverse-finance,inf
hoge-finance,inf
radicle,inf
shiba-inu,377.9676411560158
dsla-protocol,20.072333149998926
polkafoundry,inf
ethernity-chain,inf
fm-gallery,nan
convergence,inf
cellframe,inf
